support,itemsets
0.0098256735340729,"frozenset({'Cookies', 'Tea'})"
0.009614368726888537,"frozenset({'Pastry', 'Tea'})"
0.00919175911251981,"frozenset({'Pastry', 'Medialuna'})"
0.009086106708927628,"frozenset({'Bread', 'Scone'})"
0.009086106708927628,"frozenset({'Soup', 'Tea'})"
0.00855784469096672,frozenset({'Frittata'})
0.008452192287374538,"frozenset({'Coffee', 'Tiffin'})"
0.008346539883782356,"frozenset({'Scone', 'Tea'})"
0.008135235076597993,"frozenset({'Tea', 'Medialuna'})"
0.008135235076597993,frozenset({'Smoothies'})
0.008135235076597993,"frozenset({'Muffin', 'Bread'})"
0.008029582673005811,"frozenset({'Hot chocolate', 'Tea'})"
0.007818277865821448,"frozenset({'Bread', 'Toast'})"
0.0075013206550449026,"frozenset({'Truffles', 'Coffee'})"
0.007395668251452721,"frozenset({'Juice', 'Bread'})"
0.007395668251452721,"frozenset({'Coffee', 'Bread', 'Tea'})"
0.007290015847860539,"frozenset({'Cookies', 'Cake'})"
0.007184363444268357,"frozenset({'Sandwich', 'Bread', 'Coffee'})"
0.007184363444268357,"frozenset({'Juice', 'Tea'})"
0.007078711040676176,"frozenset({'Juice', 'Cake'})"
0.006867406233491812,"frozenset({'Sandwich', 'Cake'})"
0.006867406233491812,"frozenset({'Hot chocolate', 'Coffee', 'Cake'})"
0.0067617538298996305,"frozenset({'Bread', 'Coffee', 'Medialuna'})"
0.0067617538298996305,"frozenset({'Brownie', 'Tea'})"
0.0067617538298996305,"frozenset({'Alfajores', 'Tea'})"
0.006656101426307449,frozenset({'Keeping It Local'})
0.006656101426307449,"frozenset({'Jammie Dodgers', 'Coffee'})"
0.006656101426307449,"frozenset({'Coffee', 'Farm House'})"
0.006550449022715267,"frozenset({'Muffin', 'Tea'})"
0.006550449022715267,"frozenset({'Soup', 'Bread'})"
0.006550449022715267,"frozenset({'Bread', 'Scandinavian'})"
0.006550449022715267,"frozenset({'Coffee', 'Salad'})"
0.006444796619123085,"frozenset({'Coffee', 'Coke'})"
0.006444796619123085,"frozenset({'Tea', 'Toast'})"
0.00612783940834654,"frozenset({'Juice', 'Cookies'})"
0.00612783940834654,"frozenset({'Hot chocolate', 'Bread', 'Coffee'})"
0.00612783940834654,frozenset({'The Nomad'})
0.006022187004754358,"frozenset({'Hot chocolate', 'Cookies'})"
0.005810882197569995,"frozenset({'Sandwich', 'Juice'})"
0.005705229793977813,"frozenset({'Pastry', 'Hot chocolate'})"
0.005705229793977813,frozenset({'Focaccia'})
0.005705229793977813,"frozenset({'Hearty & Seasonal', 'Coffee'})"
0.0055995773903856315,"frozenset({'Mineral water', 'Coffee'})"
0.00549392498679345,frozenset({'Vegan mincepie'})
0.00549392498679345,"frozenset({'Sandwich', 'Soup'})"
0.005388272583201268,"frozenset({'Keeping It Local', 'Coffee'})"
0.005388272583201268,"frozenset({'Sandwich', 'Coffee', 'Tea'})"
0.005282620179609086,"frozenset({'Bread', 'Cookies', 'Coffee'})"
0.005176967776016905,"frozenset({'Pastry', 'Cake'})"
0.005176967776016905,"frozenset({'Coffee', 'Chicken Stew'})"
0.005176967776016905,"frozenset({'Sandwich', 'Coke'})"
0.005071315372424723,"frozenset({'Jam', 'Bread'})"
0.005071315372424723,frozenset({'Bakewell'})
